onset	duration	trial_type	distance from indifference	parametric gain	parametric loss	gain	loss	PTval	respnum	respcat	RT
0.0	3	parametric gain	n/a	-0.1194	n/a	20	5	-13.77	0	-1	0.0
4.0	3	parametric gain	n/a	-0.0694	n/a	22	17	-92.81	4	0	2.398
8.0	3	parametric gain	n/a	-0.3694	n/a	10	16	-98.05	4	0	1.351
12.0	3	parametric gain	n/a	0.3306	n/a	38	18	-83.56	4	0	1.137
16.0	3	parametric gain	n/a	-0.1194	n/a	20	14	-74.55	4	0	1.391
24.0	3	parametric gain	n/a	-0.2694	n/a	14	13	-73.79	4	0	1.5959999999999999
28.0	3	parametric gain	n/a	0.3806	n/a	40	8	-14.03	1	1	0.991
32.0	3	parametric gain	n/a	0.1806	n/a	32	18	-89.56	4	0	1.4069999999999998
36.0	3	parametric gain	n/a	-0.0194	n/a	24	8	-30.03	2	1	1.464
40.0	3	parametric gain	n/a	0.2806	n/a	36	14	-58.55	1	1	1.403
44.0	3	parametric gain	n/a	0.0806	n/a	28	6	-12.52	2	1	1.062
48.0	3	parametric gain	n/a	-0.2194	n/a	16	14	-78.55	4	0	0.7290000000000001
56.0	3	parametric gain	n/a	-0.2694	n/a	14	9	-46.78	3	0	1.712
60.0	3	parametric gain	n/a	-0.1194	n/a	20	13	-67.79	3	0	1.136
64.0	3	parametric gain	n/a	0.1306	n/a	30	18	-91.56	4	0	0.9520000000000001
72.0	3	parametric gain	n/a	-0.2694	n/a	14	15	-87.3	3	0	1.56
76.0	3	parametric gain	n/a	-0.3194	n/a	12	12	-69.04	4	0	0.8240000000000001
84.0	3	parametric gain	n/a	-0.0194	n/a	24	11	-50.29	4	0	1.0979999999999999
88.0	3	parametric gain	n/a	-0.3194	n/a	12	10	-55.53	3	0	1.537
94.0	3	parametric gain	n/a	-0.2194	n/a	16	6	-24.52	4	0	0.001
98.0	3	parametric gain	n/a	0.3306	n/a	38	20	-97.07	3	0	1.218
102.0	3	parametric gain	n/a	0.0806	n/a	28	10	-39.53	3	0	1.1840000000000002
106.0	3	parametric gain	n/a	-0.1194	n/a	20	7	-27.27	2	1	1.057
110.0	3	parametric gain	n/a	0.3306	n/a	38	9	-22.78	2	1	1.329
120.0	3	parametric gain	n/a	0.0306	n/a	26	12	-55.04	4	0	0.946
132.0	3	parametric gain	n/a	-0.3694	n/a	10	14	-84.55	3	0	1.091
136.0	3	parametric gain	n/a	-0.3194	n/a	12	13	-75.79	4	0	1.073
146.0	3	parametric gain	n/a	-0.0194	n/a	24	15	-77.3	4	0	1.075
150.0	3	parametric gain	n/a	0.1806	n/a	32	15	-69.3	3	0	0.89
154.0	3	parametric gain	n/a	0.2806	n/a	36	15	-65.3	3	0	0.8340000000000001
162.0	3	parametric gain	n/a	0.2806	n/a	36	18	-85.56	3	0	1.195
166.0	3	parametric gain	n/a	-0.3194	n/a	12	18	-109.56	4	0	1.081
176.0	3	parametric gain	n/a	-0.1194	n/a	20	9	-40.78	1	1	1.057
180.0	3	parametric gain	n/a	-0.2194	n/a	16	8	-38.03	2	1	1.87
184.0	3	parametric gain	n/a	-0.3194	n/a	12	20	-123.07	4	0	1.123
194.0	3	parametric gain	n/a	-0.0694	n/a	22	19	-106.31	4	0	1.564
200.0	3	parametric gain	n/a	0.2806	n/a	36	9	-24.78	3	0	1.101
204.0	3	parametric gain	n/a	0.0306	n/a	26	6	-14.52	2	1	1.27
208.0	3	parametric gain	n/a	0.1306	n/a	30	5	-3.77	1	1	1.2930000000000001
212.0	3	parametric gain	n/a	0.2806	n/a	36	7	-11.27	2	1	1.05
216.0	3	parametric gain	n/a	-0.1694	n/a	18	10	-49.53	3	0	1.444
220.0	3	parametric gain	n/a	0.1306	n/a	30	9	-30.78	2	1	0.909
226.0	3	parametric gain	n/a	0.1306	n/a	30	12	-51.04	3	0	1.781
236.0	3	parametric gain	n/a	-0.2694	n/a	14	8	-40.03	2	1	1.996
240.0	3	parametric gain	n/a	-0.1194	n/a	20	19	-108.31	4	0	1.157
244.0	3	parametric gain	n/a	0.0806	n/a	28	14	-66.55	3	0	1.253
250.0	3	parametric gain	n/a	-0.2194	n/a	16	17	-98.81	3	0	0.878
258.0	3	parametric gain	n/a	0.0306	n/a	26	8	-28.03	2	1	1.382
262.0	3	parametric gain	n/a	-0.3694	n/a	10	17	-104.81	4	0	1.036
274.0	3	parametric gain	n/a	-0.3194	n/a	12	5	-21.77	2	1	1.167
282.0	3	parametric gain	n/a	0.3806	n/a	40	6	-0.52	1	1	1.351
286.0	3	parametric gain	n/a	0.2806	n/a	36	13	-51.79	3	0	1.5490000000000002
294.0	3	parametric gain	n/a	-0.3694	n/a	10	9	-50.78	4	0	1.2790000000000001
298.0	3	parametric gain	n/a	0.2306	n/a	34	18	-87.56	3	0	1.014
304.0	3	parametric gain	n/a	0.1306	n/a	30	15	-71.3	4	0	1.311
316.0	3	parametric gain	n/a	-0.1694	n/a	18	9	-42.78	3	0	1.016
322.0	3	parametric gain	n/a	0.0306	n/a	26	20	-109.07	4	0	1.288
326.0	3	parametric gain	n/a	0.2806	n/a	36	20	-99.07	4	0	0.887
330.0	3	parametric gain	n/a	-0.0694	n/a	22	15	-79.3	4	0	0.943
334.0	3	parametric gain	n/a	0.3306	n/a	38	8	-16.03	2	1	1.584
342.0	3	parametric gain	n/a	0.0806	n/a	28	16	-80.05	3	0	1.399
348.0	3	parametric gain	n/a	0.2306	n/a	34	12	-47.04	3	0	1.105
358.0	3	parametric gain	n/a	0.0806	n/a	28	15	-73.3	3	0	1.217
364.0	3	parametric gain	n/a	-0.0194	n/a	24	17	-90.81	4	0	0.904
368.0	3	parametric gain	n/a	0.0806	n/a	28	11	-46.29	3	0	1.024
372.0	3	parametric gain	n/a	-0.2194	n/a	16	9	-44.78	3	0	1.224
378.0	3	parametric gain	n/a	-0.0694	n/a	22	13	-65.79	3	0	0.8490000000000001
384.0	3	parametric gain	n/a	0.3806	n/a	40	11	-34.29	2	1	1.6980000000000002
390.0	3	parametric gain	n/a	0.0806	n/a	28	8	-26.03	2	1	1.281
396.0	3	parametric gain	n/a	0.2806	n/a	36	16	-72.05	4	0	1.063
400.0	3	parametric gain	n/a	-0.1194	n/a	20	10	-47.53	3	0	1.057
404.0	3	parametric gain	n/a	-0.3694	n/a	10	18	-111.56	3	0	1.065
408.0	3	parametric gain	n/a	0.3806	n/a	40	9	-20.78	3	0	1.082
412.0	3	parametric gain	n/a	0.1806	n/a	32	7	-15.27	1	1	1.4409999999999998
422.0	3	parametric gain	n/a	0.3806	n/a	40	16	-68.05	3	0	1.643
426.0	3	parametric gain	n/a	0.1306	n/a	30	17	-84.81	3	0	1.29
432.0	3	parametric gain	n/a	-0.0194	n/a	24	5	-9.77	1	1	1.179
436.0	3	parametric gain	n/a	-0.2194	n/a	16	7	-31.27	2	1	1.3459999999999999
440.0	3	parametric gain	n/a	-0.0694	n/a	22	18	-99.56	4	0	1.162
444.0	3	parametric gain	n/a	0.0306	n/a	26	19	-102.31	4	0	1.058
448.0	3	parametric gain	n/a	-0.0194	n/a	24	20	-111.07	4	0	0.8909999999999999
452.0	3	parametric gain	n/a	0.2306	n/a	34	6	-6.52	1	1	1.114
460.0	3	parametric gain	n/a	-0.0194	n/a	24	16	-84.05	3	0	0.74
468.0	3	parametric gain	n/a	-0.0694	n/a	22	6	-18.52	2	1	1.4909999999999999
474.0	3	parametric gain	n/a	-0.3194	n/a	12	7	-35.27	4	0	1.2429999999999999
