onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
4.000	.859	.491	FAMOUS	5	7	1.457	func/f042.bmp
7.107	.932	.474	FAMOUS	6	7	.926	func/f042.bmp
10.431	.935	.524	UNFAMILIAR	13	4	.889	func/u042.bmp
13.705	.889	.570	UNFAMILIAR	14	4	.771	func/u042.bmp
16.895	.915	.533	UNFAMILIAR	13	4	1.026	func/u038.bmp
20.069	.870	.496	UNFAMILIAR	13	7	1.144	func/u039.bmp
23.293	.951	.569	SCRAMBLED	17	7	1.098	func/s036.bmp
26.517	.929	.514	UNFAMILIAR	13	4	.972	func/u033.bmp
29.640	.863	.419	UNFAMILIAR	14	4	.837	func/u033.bmp
32.681	.961	.414	FAMOUS	5	4	1.079	func/f035.bmp
35.387	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
55.866	.857	.434	FAMOUS	5	7	.922	func/f040.bmp
58.889	.811	.400	FAMOUS	6	7	.675	func/f040.bmp
61.912	.897	.446	UNFAMILIAR	15	4	.964	func/u038.bmp
65.103	.990	.522	SCRAMBLED	17	7	1.100	func/s034.bmp
68.444	.886	.570	UNFAMILIAR	15	4	1.252	func/u039.bmp
71.534	.824	.442	FAMOUS	5	7	.968	func/f048.bmp
74.691	.895	.553	FAMOUS	6	7	.598	func/f048.bmp
77.948	.990	.599	SCRAMBLED	19	7	1.211	func/s036.bmp
81.289	.839	.579	FAMOUS	5	7	.843	func/f034.bmp
84.379	.812	.478	SCRAMBLED	17	7	.687	func/s041.bmp
87.386	.830	.419	SCRAMBLED	18	7	1.052	func/s041.bmp
90.526	.812	.539	FAMOUS	7	4	.932	func/f035.bmp
93.533	.984	.418	UNFAMILIAR	13	7	1.214	func/u036.bmp
96.773	.822	.498	UNFAMILIAR	14	n/a	0	func/u036.bmp
99.897	.852	.523	SCRAMBLED	17	7	1.024	func/s044.bmp
103.037	.888	.533	SCRAMBLED	18	7	.936	func/s044.bmp
106.261	.955	.555	SCRAMBLED	19	4	1.065	func/s034.bmp
109.569	.923	.575	FAMOUS	5	7	.926	func/f043.bmp
112.241	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
132.871	.827	.598	SCRAMBLED	17	7	1.147	func/s043.bmp
136.028	.896	.561	FAMOUS	7	7	.740	func/f034.bmp
139.101	.922	.412	SCRAMBLED	17	7	.970	func/s042.bmp
142.275	.940	.474	SCRAMBLED	18	7	1.209	func/s042.bmp
145.565	.812	.572	FAMOUS	5	4	1.067	func/f047.bmp
148.606	.808	.464	FAMOUS	6	4	1.077	func/f047.bmp
151.629	.826	.438	FAMOUS	5	n/a	0	func/f046.bmp
154.786	.866	.558	UNFAMILIAR	13	4	.856	func/u037.bmp
157.976	.905	.555	FAMOUS	7	7	.756	func/f043.bmp
161.101	.975	.451	FAMOUS	5	7	.799	func/f041.bmp
164.291	.984	.448	FAMOUS	6	7	.718	func/f041.bmp
167.531	.851	.493	SCRAMBLED	19	n/a	0	func/s043.bmp
170.738	.965	.587	UNFAMILIAR	13	4	.954	func/u044.bmp
173.929	.986	.456	UNFAMILIAR	14	4	.734	func/u044.bmp
177.236	.968	.554	UNFAMILIAR	13	7	1.061	func/u048.bmp
180.527	.874	.557	UNFAMILIAR	14	7	.711	func/u048.bmp
183.567	.977	.400	UNFAMILIAR	13	7	.923	func/u040.bmp
186.841	.901	.530	FAMOUS	7	7	.811	func/f046.bmp
189.948	.944	.441	UNFAMILIAR	13	7	.693	func/u047.bmp
193.188	.925	.532	UNFAMILIAR	15	4	.969	func/u037.bmp
195.861	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
216.306	.813	.403	FAMOUS	5	7	.682	func/f033.bmp
219.430	.844	.544	SCRAMBLED	17	7	1.254	func/s046.bmp
222.520	.861	.472	SCRAMBLED	18	7	1.108	func/s046.bmp
225.594	.984	.447	SCRAMBLED	17	7	.827	func/s037.bmp
228.768	.861	.420	SCRAMBLED	18	7	.978	func/s037.bmp
231.858	.805	.456	FAMOUS	5	n/a	0	func/f036.bmp
234.981	.917	.496	UNFAMILIAR	15	4	.921	func/u040.bmp
238.122	.951	.465	UNFAMILIAR	13	7	1.077	func/u034.bmp
241.379	.958	.550	UNFAMILIAR	15	7	.951	func/u047.bmp
244.636	.918	.519	SCRAMBLED	17	7	1.057	func/s040.bmp
247.860	.953	.547	FAMOUS	7	7	.833	func/f033.bmp
251.101	.986	.530	UNFAMILIAR	13	7	1.000	func/u045.bmp
254.291	.845	.442	UNFAMILIAR	14	7	.854	func/u045.bmp
257.315	.913	.406	SCRAMBLED	17	7	1.193	func/s047.bmp
260.405	.898	.403	SCRAMBLED	18	7	1.068	func/s047.bmp
263.612	.972	.547	UNFAMILIAR	13	n/a	0	func/u041.bmp
266.919	.917	.562	UNFAMILIAR	14	n/a	0	func/u041.bmp
270.060	.803	.466	FAMOUS	7	7	.774	func/f036.bmp
272.599	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
293.228	.801	.592	FAMOUS	5	7	.779	func/f039.bmp
296.268	.946	.471	FAMOUS	6	7	.555	func/f039.bmp
299.392	.964	.413	UNFAMILIAR	15	7	.760	func/u034.bmp
302.532	.888	.408	FAMOUS	5	4	1.012	func/f044.bmp
305.605	.834	.414	FAMOUS	6	4	1.328	func/f044.bmp
308.746	.860	.546	SCRAMBLED	19	7	1.311	func/s040.bmp
311.803	.875	.423	SCRAMBLED	17	4	1.054	func/s033.bmp
315.026	.800	.579	FAMOUS	5	7	.664	func/f045.bmp
318.184	.874	.588	UNFAMILIAR	13	7	.932	func/u046.bmp
321.341	.838	.504	UNFAMILIAR	14	7	.542	func/u046.bmp
324.364	.815	.411	UNFAMILIAR	13	7	1.032	func/u035.bmp
327.522	.925	.585	UNFAMILIAR	14	7	.704	func/u035.bmp
330.795	.820	.579	SCRAMBLED	17	7	1.033	func/s039.bmp
333.885	.888	.486	SCRAMBLED	17	7	.904	func/s048.bmp
337.076	.833	.523	SCRAMBLED	19	n/a	0	func/s033.bmp
340.199	.997	.533	SCRAMBLED	17	7	.845	func/s038.bmp
343.423	.974	.453	FAMOUS	7	7	.725	func/f045.bmp
346.697	.939	.523	SCRAMBLED	17	7	.932	func/s035.bmp
349.821	.964	.410	SCRAMBLED	17	7	.639	func/s045.bmp
352.527	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
373.022	.932	.452	FAMOUS	5	7	1.248	func/f038.bmp
376.313	.918	.587	SCRAMBLED	19	7	.815	func/s039.bmp
379.503	.841	.511	FAMOUS	5	7	.587	func/f037.bmp
382.594	.825	.479	FAMOUS	6	7	1.381	func/f037.bmp
385.634	.801	.443	SCRAMBLED	19	7	1.044	func/s048.bmp
388.641	.853	.447	UNFAMILIAR	13	4	1.009	func/u043.bmp
391.798	.961	.543	UNFAMILIAR	14	4	.966	func/u043.bmp
395.021	.910	.495	SCRAMBLED	19	7	.971	func/s038.bmp
397.727	.012	0	n/a	999	0	0	func/Circle.bmp
