onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
4.000	.817	.431	FAMOUS	5	7	1.799	func/f086.bmp
7.074	.840	.492	FAMOUS	6	7	1.000	func/f086.bmp
10.348	.977	.555	FAMOUS	5	7	1.583	func/f092.bmp
13.505	.871	.406	FAMOUS	6	7	.644	func/f092.bmp
16.729	.807	.578	UNFAMILIAR	13	7	1.029	func/u094.bmp
19.852	.940	.536	UNFAMILIAR	14	7	.597	func/u094.bmp
23.043	.860	.477	UNFAMILIAR	13	4	.930	func/u084.bmp
26.133	.858	.460	FAMOUS	5	7	.946	func/f097.bmp
29.340	.860	.569	FAMOUS	6	7	.515	func/f097.bmp
31.946	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
52.475	.970	.500	UNFAMILIAR	13	7	.861	func/u097.bmp
55.782	.911	.571	UNFAMILIAR	14	7	.813	func/u097.bmp
58.939	.932	.479	SCRAMBLED	17	7	.702	func/s091.bmp
62.130	.973	.501	SCRAMBLED	18	7	1.085	func/s091.bmp
65.387	.868	.514	SCRAMBLED	17	7	.545	func/s086.bmp
68.561	.878	.551	FAMOUS	5	7	.764	func/f089.bmp
71.717	.845	.511	UNFAMILIAR	15	4	.790	func/u084.bmp
74.774	.825	.435	UNFAMILIAR	13	7	1.080	func/u085.bmp
77.848	.988	.471	SCRAMBLED	17	7	1.389	func/s089.bmp
81.105	.984	.491	FAMOUS	5	4	1.073	func/f094.bmp
84.345	.979	.488	FAMOUS	6	4	.664	func/f094.bmp
87.619	.958	.527	UNFAMILIAR	13	4	1.619	func/u087.bmp
90.943	.943	.589	SCRAMBLED	19	7	.753	func/s086.bmp
94.218	.850	.568	FAMOUS	5	4	1.017	func/f093.bmp
97.391	.901	.552	FAMOUS	7	7	1.514	func/f089.bmp
100.498	.891	.444	SCRAMBLED	17	7	1.114	func/s090.bmp
103.588	.854	.431	SCRAMBLED	18	7	.746	func/s090.bmp
106.812	.958	.587	UNFAMILIAR	15	7	1.176	func/u085.bmp
110.136	.822	.597	SCRAMBLED	17	7	.783	func/s082.bmp
113.243	.875	.515	SCRAMBLED	19	7	.525	func/s089.bmp
115.865	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
136.295	.888	.401	SCRAMBLED	17	7	.656	func/s095.bmp
139.367	.866	.411	UNFAMILIAR	13	4	1.045	func/u093.bmp
142.508	.885	.516	UNFAMILIAR	15	4	1.006	func/u087.bmp
145.665	.978	.502	UNFAMILIAR	13	4	.912	func/u092.bmp
148.838	.926	.419	UNFAMILIAR	14	4	.662	func/u092.bmp
151.962	.827	.419	FAMOUS	7	7	1.590	func/f093.bmp
155.152	.939	.595	SCRAMBLED	17	7	1.215	func/s092.bmp
158.309	.951	.444	SCRAMBLED	18	7	.800	func/s092.bmp
161.500	.980	.478	UNFAMILIAR	13	7	1.082	func/u083.bmp
164.757	.953	.504	SCRAMBLED	19	7	1.201	func/s082.bmp
167.914	.984	.448	UNFAMILIAR	13	4	.939	func/u095.bmp
171.121	.857	.466	UNFAMILIAR	14	4	.734	func/u095.bmp
174.245	.924	.493	SCRAMBLED	19	7	.736	func/s095.bmp
177.386	.929	.451	SCRAMBLED	17	7	1.325	func/s088.bmp
180.659	.854	.577	UNFAMILIAR	15	4	.844	func/u093.bmp
183.783	.899	.486	SCRAMBLED	17	4	1.200	func/s083.bmp
186.890	.899	.443	SCRAMBLED	18	7	.577	func/s083.bmp
189.980	.844	.430	FAMOUS	5	7	1.778	func/f096.bmp
193.020	.811	.418	FAMOUS	6	7	.451	func/f096.bmp
195.575	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
216.154	.871	.545	UNFAMILIAR	13	7	1.392	func/u096.bmp
219.395	.939	.594	UNFAMILIAR	15	7	.743	func/u083.bmp
222.585	.814	.475	SCRAMBLED	17	7	.852	func/s093.bmp
225.709	.830	.547	SCRAMBLED	18	7	.959	func/s093.bmp
228.783	.996	.484	FAMOUS	5	4	1.454	func/f091.bmp
232.090	.832	.490	FAMOUS	6	4	.820	func/f091.bmp
235.164	.812	.484	SCRAMBLED	19	7	.735	func/s088.bmp
238.320	.911	.581	UNFAMILIAR	13	4	1.537	func/u088.bmp
241.427	.934	.419	SCRAMBLED	17	7	1.474	func/s085.bmp
244.634	.826	.505	SCRAMBLED	18	7	1.862	func/s085.bmp
247.741	.881	.516	UNFAMILIAR	13	4	1.055	func/u089.bmp
250.915	.958	.524	UNFAMILIAR	15	4	1.943	func/u096.bmp
254.072	.818	.433	SCRAMBLED	17	7	1.570	func/s094.bmp
257.062	.878	.407	FAMOUS	5	4	1.357	func/f087.bmp
260.185	.839	.483	FAMOUS	6	4	.654	func/f087.bmp
263.259	.959	.456	SCRAMBLED	17	7	.956	func/s097.bmp
266.416	.987	.420	SCRAMBLED	18	7	.708	func/s097.bmp
269.707	.892	.526	UNFAMILIAR	15	4	2.144	func/u088.bmp
272.897	.937	.530	UNFAMILIAR	13	4	1.297	func/u082.bmp
275.586	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
296.082	.889	.453	FAMOUS	5	4	.981	func/f088.bmp
299.239	.863	.486	UNFAMILIAR	15	4	.903	func/u089.bmp
302.296	.848	.431	UNFAMILIAR	13	4	1.188	func/u086.bmp
305.453	.972	.550	UNFAMILIAR	14	4	.654	func/u086.bmp
308.761	.806	.568	SCRAMBLED	19	7	1.079	func/s094.bmp
311.800	.850	.463	UNFAMILIAR	13	4	1.528	func/u091.bmp
314.990	.959	.575	FAMOUS	5	4	1.142	func/f090.bmp
318.147	.919	.419	SCRAMBLED	17	7	.955	func/s084.bmp
321.388	.914	.558	UNFAMILIAR	15	4	.922	func/u082.bmp
324.645	.805	.569	UNFAMILIAR	13	n/a	0	func/u090.bmp
327.635	.842	.412	FAMOUS	7	7	1.122	func/f088.bmp
330.792	.953	.538	FAMOUS	5	7	1.150	func/f083.bmp
334.000	.866	.501	SCRAMBLED	17	4	1.153	func/s087.bmp
337.140	.990	.504	SCRAMBLED	18	4	.664	func/s087.bmp
340.413	.914	.507	UNFAMILIAR	15	4	.964	func/u091.bmp
343.621	.896	.531	FAMOUS	5	4	1.945	func/f082.bmp
346.711	.869	.421	FAMOUS	6	n/a	0	func/f082.bmp
349.818	.979	.478	FAMOUS	7	4	.987	func/f090.bmp
352.540	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
373.053	.832	.470	SCRAMBLED	17	7	.651	func/s096.bmp
376.059	.848	.408	SCRAMBLED	19	7	.886	func/s084.bmp
379.250	.849	.583	FAMOUS	5	4	1.630	func/f095.bmp
382.306	.921	.444	FAMOUS	6	n/a	0	func/f095.bmp
385.514	1.000	.507	UNFAMILIAR	15	4	.690	func/u090.bmp
388.754	.918	.473	FAMOUS	5	7	1.457	func/f084.bmp
391.995	.969	.560	FAMOUS	6	7	1.330	func/f084.bmp
395.319	.992	.592	FAMOUS	7	7	.993	func/f083.bmp
398.509	.960	.420	FAMOUS	5	4	1.414	func/f085.bmp
401.649	.999	.416	FAMOUS	6	4	.680	func/f085.bmp
404.405	.012	0	n/a	999	0	0	func/Circle.bmp
