onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
4.000	.945	.414	UNFAMILIAR	13	4	.750	func/u125.bmp
7.324	.907	.555	SCRAMBLED	17	4	.741	func/s124.bmp
10.548	.977	.441	SCRAMBLED	18	4	.686	func/s124.bmp
13.789	.989	.500	SCRAMBLED	17	4	.779	func/s116.bmp
16.979	.927	.430	SCRAMBLED	18	4	.487	func/s116.bmp
20.270	.861	.562	FAMOUS	5	7	.790	func/f129.bmp
23.310	.990	.415	FAMOUS	5	4	.614	func/f130.bmp
26.534	.883	.457	UNFAMILIAR	13	4	.608	func/u130.bmp
29.724	.886	.550	UNFAMILIAR	15	4	.555	func/u125.bmp
32.347	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
52.943	.996	.565	UNFAMILIAR	13	4	.688	func/u128.bmp
56.217	.892	.513	UNFAMILIAR	14	n/a	0	func/u128.bmp
59.323	.868	.438	SCRAMBLED	17	4	.807	func/s127.bmp
62.531	.862	.523	FAMOUS	5	4	1.023	func/f120.bmp
65.604	.873	.450	FAMOUS	7	7	.925	func/f129.bmp
68.694	.824	.447	FAMOUS	5	4	.602	func/f114.bmp
71.751	.928	.453	FAMOUS	6	4	.924	func/f114.bmp
74.841	.990	.400	FAMOUS	7	4	.617	func/f130.bmp
78.149	.812	.548	UNFAMILIAR	13	7	1.009	func/u114.bmp
81.155	.928	.425	UNFAMILIAR	15	4	.590	func/u130.bmp
84.279	.864	.426	FAMOUS	5	4	.614	func/f121.bmp
87.369	.951	.455	FAMOUS	6	4	1.063	func/f121.bmp
90.610	.877	.498	FAMOUS	5	4	.756	func/f116.bmp
93.817	.904	.559	FAMOUS	6	4	.657	func/f116.bmp
97.057	.911	.562	SCRAMBLED	19	4	.904	func/s127.bmp
100.214	.938	.453	SCRAMBLED	17	7	.904	func/s129.bmp
103.422	.855	.498	SCRAMBLED	18	7	.591	func/s129.bmp
106.545	.894	.492	FAMOUS	7	4	.666	func/f120.bmp
109.635	.805	.417	UNFAMILIAR	13	4	.638	func/u124.bmp
112.709	.943	.499	UNFAMILIAR	14	4	.472	func/u124.bmp
115.398	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
135.911	.900	.484	UNFAMILIAR	13	4	.669	func/u127.bmp
139.034	.919	.457	UNFAMILIAR	15	4	.638	func/u114.bmp
142.141	.955	.428	SCRAMBLED	17	7	.758	func/s114.bmp
145.332	.806	.452	SCRAMBLED	18	7	.578	func/s114.bmp
148.505	.940	.591	FAMOUS	5	4	.632	func/f125.bmp
151.696	.994	.472	FAMOUS	5	4	.772	func/f127.bmp
154.954	.840	.478	UNFAMILIAR	13	4	.577	func/u119.bmp
158.127	.820	.565	UNFAMILIAR	14	4	.534	func/u119.bmp
161.217	.827	.498	UNFAMILIAR	13	7	.785	func/u115.bmp
164.407	.982	.585	UNFAMILIAR	14	7	.578	func/u115.bmp
167.631	.900	.470	UNFAMILIAR	15	4	.653	func/u127.bmp
170.688	.917	.400	FAMOUS	5	4	.704	func/f122.bmp
173.962	.815	.592	FAMOUS	6	4	.489	func/f122.bmp
177.069	.939	.509	UNFAMILIAR	13	4	.678	func/u121.bmp
180.343	.828	.554	UNFAMILIAR	14	4	.600	func/u121.bmp
183.416	.832	.468	FAMOUS	7	4	.663	func/f125.bmp
186.540	.916	.499	SCRAMBLED	17	4	.830	func/s118.bmp
189.764	.930	.541	SCRAMBLED	18	4	.451	func/s118.bmp
193.004	.999	.537	FAMOUS	7	4	.583	func/f127.bmp
195.744	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
216.223	.948	.444	FAMOUS	5	4	1.099	func/f126.bmp
219.346	1.000	.414	SCRAMBLED	17	7	.697	func/s115.bmp
222.654	.909	.544	FAMOUS	5	4	.649	func/f123.bmp
225.928	.927	.585	FAMOUS	6	4	.553	func/f123.bmp
229.085	.947	.464	SCRAMBLED	17	7	.683	func/s126.bmp
232.325	.947	.522	UNFAMILIAR	13	4	.652	func/u116.bmp
235.516	.854	.420	SCRAMBLED	17	7	.777	func/s125.bmp
238.540	.929	.401	SCRAMBLED	18	7	.612	func/s125.bmp
241.779	.846	.539	FAMOUS	7	4	.577	func/f126.bmp
244.970	.984	.577	SCRAMBLED	17	7	.671	func/s130.bmp
248.244	.868	.529	SCRAMBLED	19	7	.758	func/s115.bmp
251.351	.928	.482	SCRAMBLED	17	7	.616	func/s121.bmp
