onset	duration	trial_type	distance from indifference	parametric gain	parametric loss	gain	loss	PTval	respnum	respcat	RT
0.0	3	parametric gain	n/a	-0.139	n/a	20	15	-0.99	2	1	2.401
4.0	3	parametric gain	n/a	-0.189	n/a	18	12	1.21	2	1	2.399
8.0	3	parametric gain	n/a	-0.389	n/a	10	15	-10.99	3	0	0.9209999999999999
18.0	3	parametric gain	n/a	0.211	n/a	34	16	11.62	2	1	1.099
24.0	3	parametric gain	n/a	-0.189	n/a	18	5	11.0	1	1	0.9790000000000001
28.0	3	parametric gain	n/a	0.011	n/a	26	13	7.81	0	-1	0.0
38.0	3	parametric gain	n/a	0.161	n/a	32	17	8.22	2	1	0.85
42.0	3	parametric gain	n/a	-0.239	n/a	16	5	9.0	2	1	1.535
46.0	3	parametric gain	n/a	-0.089	n/a	22	7	12.21	2	1	0.9670000000000001
52.0	3	parametric gain	n/a	0.261	n/a	36	8	24.81	2	1	0.795
56.0	3	parametric gain	n/a	-0.239	n/a	16	10	2.01	2	1	1.072
62.0	3	parametric gain	n/a	0.111	n/a	30	13	11.81	2	1	0.723
74.0	3	parametric gain	n/a	-0.289	n/a	14	17	-9.78	3	0	1.371
78.0	3	parametric gain	n/a	0.061	n/a	28	19	1.42	2	1	0.88
82.0	3	parametric gain	n/a	-0.289	n/a	14	20	-13.98	3	0	1.1440000000000001
86.0	3	parametric gain	n/a	0.011	n/a	26	16	3.62	2	1	0.8029999999999999
90.0	3	parametric gain	n/a	0.361	n/a	40	5	33.0	1	1	0.7040000000000001
94.0	3	parametric gain	n/a	0.061	n/a	28	12	11.21	2	1	1.176
98.0	3	parametric gain	n/a	-0.139	n/a	20	16	-2.38	2	1	1.4
102.0	3	parametric gain	n/a	0.011	n/a	26	5	19.0	1	1	0.843
106.0	3	parametric gain	n/a	0.161	n/a	32	20	4.02	2	1	2.296
110.0	3	parametric gain	n/a	-0.189	n/a	18	17	-5.78	2	1	1.4969999999999999
116.0	3	parametric gain	n/a	-0.139	n/a	20	6	11.61	2	1	1.115
120.0	3	parametric gain	n/a	-0.139	n/a	20	18	-5.18	2	1	0.992
126.0	3	parametric gain	n/a	0.361	n/a	40	7	30.21	1	1	0.82
130.0	3	parametric gain	n/a	0.261	n/a	36	6	27.61	2	1	1.321
134.0	3	parametric gain	n/a	-0.239	n/a	16	20	-11.98	3	0	1.208
140.0	3	parametric gain	n/a	0.361	n/a	40	15	19.01	1	1	0.8590000000000001
148.0	3	parametric gain	n/a	-0.389	n/a	10	6	1.61	2	1	1.172
156.0	3	parametric gain	n/a	-0.339	n/a	12	15	-8.99	3	0	1.204
160.0	3	parametric gain	n/a	0.211	n/a	34	17	10.22	2	1	1.66
164.0	3	parametric gain	n/a	-0.189	n/a	18	14	-1.59	2	1	1.2409999999999999
170.0	3	parametric gain	n/a	0.361	n/a	40	13	21.81	1	1	0.981
174.0	3	parametric gain	n/a	0.161	n/a	32	19	5.42	2	1	1.01
178.0	3	parametric gain	n/a	-0.289	n/a	14	12	-2.79	2	1	1.521
182.0	3	parametric gain	n/a	0.161	n/a	32	10	18.01	2	1	1.273
192.0	3	parametric gain	n/a	0.261	n/a	36	17	12.22	2	1	0.9490000000000001
202.0	3	parametric gain	n/a	0.061	n/a	28	13	9.81	2	1	0.868
208.0	3	parametric gain	n/a	0.211	n/a	34	13	15.81	2	1	0.852
212.0	3	parametric gain	n/a	0.311	n/a	38	14	18.41	2	1	1.018
220.0	3	parametric gain	n/a	0.161	n/a	32	11	16.61	2	1	0.885
224.0	3	parametric gain	n/a	0.161	n/a	32	9	19.41	1	1	1.024
234.0	3	parametric gain	n/a	0.111	n/a	30	16	7.62	2	1	1.261
238.0	3	parametric gain	n/a	0.211	n/a	34	10	20.01	2	1	0.858
246.0	3	parametric gain	n/a	-0.189	n/a	18	8	6.81	2	1	0.9490000000000001
250.0	3	parametric gain	n/a	0.211	n/a	34	20	6.02	2	1	1.107
256.0	3	parametric gain	n/a	0.161	n/a	32	16	9.62	2	1	1.0290000000000001
260.0	3	parametric gain	n/a	-0.039	n/a	24	12	7.21	2	1	1.579
266.0	3	parametric gain	n/a	0.311	n/a	38	12	21.21	1	1	1.162
272.0	3	parametric gain	n/a	0.311	n/a	38	10	24.01	1	1	1.229
280.0	3	parametric gain	n/a	-0.039	n/a	24	7	14.21	2	1	0.91
284.0	3	parametric gain	n/a	-0.239	n/a	16	13	-2.19	3	0	1.4909999999999999
296.0	3	parametric gain	n/a	0.261	n/a	36	19	9.42	2	1	1.012
310.0	3	parametric gain	n/a	0.161	n/a	32	5	25.0	1	1	0.9009999999999999
316.0	3	parametric gain	n/a	0.211	n/a	34	9	21.41	1	1	0.998
320.0	3	parametric gain	n/a	0.061	n/a	28	7	18.21	2	1	1.2109999999999999
324.0	3	parametric gain	n/a	-0.039	n/a	24	13	5.81	2	1	1.65
330.0	3	parametric gain	n/a	0.311	n/a	38	5	31.0	0	-1	0.0
336.0	3	parametric gain	n/a	-0.089	n/a	22	9	9.41	2	1	1.652
342.0	3	parametric gain	n/a	-0.389	n/a	10	11	-5.39	3	0	1.9040000000000001
346.0	3	parametric gain	n/a	-0.339	n/a	12	14	-7.59	3	0	1.219
350.0	3	parametric gain	n/a	0.211	n/a	34	19	7.42	2	1	1.1520000000000001
360.0	3	parametric gain	n/a	0.311	n/a	38	7	28.21	1	1	1.311
364.0	3	parametric gain	n/a	0.111	n/a	30	6	21.61	1	1	1.002
368.0	3	parametric gain	n/a	0.011	n/a	26	18	0.82	1	1	1.0979999999999999
374.0	3	parametric gain	n/a	-0.289	n/a	14	6	5.61	2	1	1.006
378.0	3	parametric gain	n/a	-0.239	n/a	16	12	-0.79	2	1	0.877
382.0	3	parametric gain	n/a	-0.089	n/a	22	20	-5.98	2	1	1.964
386.0	3	parametric gain	n/a	-0.339	n/a	12	17	-11.78	3	0	1.252
398.0	3	parametric gain	n/a	-0.389	n/a	10	7	0.21	2	1	1.3430000000000002
402.0	3	parametric gain	n/a	-0.189	n/a	18	20	-9.98	3	0	1.5719999999999998
408.0	3	parametric gain	n/a	-0.339	n/a	12	6	3.61	2	1	1.113
412.0	3	parametric gain	n/a	0.161	n/a	32	6	23.61	2	1	0.973
416.0	3	parametric gain	n/a	-0.189	n/a	18	7	8.21	2	1	1.2429999999999999
420.0	3	parametric gain	n/a	0.361	n/a	40	10	26.01	1	1	0.9390000000000001
424.0	3	parametric gain	n/a	-0.289	n/a	14	14	-5.59	3	0	1.999
428.0	3	parametric gain	n/a	0.111	n/a	30	19	3.42	2	1	1.995
436.0	3	parametric gain	n/a	-0.039	n/a	24	18	-1.18	2	1	1.351
440.0	3	parametric gain	n/a	-0.389	n/a	10	12	-6.79	3	0	1.172
444.0	3	parametric gain	n/a	0.361	n/a	40	19	13.42	2	1	1.23
448.0	3	parametric gain	n/a	-0.039	n/a	24	9	11.41	1	1	1.87
458.0	3	parametric gain	n/a	-0.239	n/a	16	18	-9.18	3	0	1.575
462.0	3	parametric gain	n/a	0.261	n/a	36	12	19.21	2	1	1.964
466.0	3	parametric gain	n/a	0.011	n/a	26	9	13.41	2	1	1.868
470.0	3	parametric gain	n/a	-0.139	n/a	20	12	3.21	2	1	1.4709999999999999
474.0	3	parametric gain	n/a	-0.039	n/a	24	14	4.41	2	1	1.307
